Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,8175.000000,8200.000000,8150.000000,8200.000000,8200.000000,39600
2019-05-15,8200.000000,8200.000000,8125.000000,8150.000000,8150.000000,13300
2019-05-16,8150.000000,8200.000000,8075.000000,8100.000000,8100.000000,32300
2019-05-17,8250.000000,8250.000000,8100.000000,8225.000000,8225.000000,145800
2019-05-20,8300.000000,8300.000000,6750.000000,8250.000000,8250.000000,185900
2019-05-21,8350.000000,8350.000000,8175.000000,8275.000000,8275.000000,13900
2019-05-22,8275.000000,8550.000000,8100.000000,8325.000000,8325.000000,49500
2019-05-23,8500.000000,8550.000000,7575.000000,8100.000000,8100.000000,51600
2019-05-24,8100.000000,8300.000000,8000.000000,8300.000000,8300.000000,31200
2019-05-27,8550.000000,8600.000000,8300.000000,8375.000000,8375.000000,76000
2019-05-28,8500.000000,8500.000000,8400.000000,8400.000000,8400.000000,35400
2019-05-29,8650.000000,8700.000000,8400.000000,8500.000000,8500.000000,39700
2019-05-30,8500.000000,8500.000000,8500.000000,8500.000000,8500.000000,0
2019-05-31,8700.000000,8700.000000,8500.000000,8500.000000,8500.000000,34000
2019-06-03,8500.000000,8500.000000,8500.000000,8500.000000,8500.000000,0
2019-06-04,8500.000000,8500.000000,8500.000000,8500.000000,8500.000000,0
2019-06-05,8500.000000,8500.000000,8500.000000,8500.000000,8500.000000,0
2019-06-06,8500.000000,8500.000000,8500.000000,8500.000000,8500.000000,0
2019-06-07,8500.000000,8500.000000,8500.000000,8500.000000,8500.000000,0
2019-06-10,8750.000000,8750.000000,8500.000000,8600.000000,8600.000000,50600
2019-06-11,8700.000000,8775.000000,8600.000000,8600.000000,8600.000000,55500
2019-06-12,8600.000000,8600.000000,8250.000000,8475.000000,8475.000000,56400
2019-06-13,8500.000000,8500.000000,8250.000000,8500.000000,8500.000000,44900
2019-06-14,8550.000000,8550.000000,8500.000000,8525.000000,8525.000000,25700
2019-06-17,8650.000000,8750.000000,8400.000000,8550.000000,8550.000000,23700
2019-06-18,8650.000000,8775.000000,8525.000000,8525.000000,8525.000000,25200
2019-06-19,8500.000000,8550.000000,8450.000000,8550.000000,8550.000000,109700
2019-06-20,8750.000000,8750.000000,8525.000000,8600.000000,8600.000000,28600
2019-06-21,8600.000000,8600.000000,8425.000000,8475.000000,8475.000000,36300
2019-06-24,8475.000000,8475.000000,8350.000000,8475.000000,8475.000000,42400
2019-06-25,8700.000000,8700.000000,8475.000000,8475.000000,8475.000000,31100
2019-06-26,8475.000000,8475.000000,8000.000000,8200.000000,8200.000000,78400
2019-06-27,8200.000000,8200.000000,7950.000000,8200.000000,8200.000000,69300
2019-06-28,8400.000000,8400.000000,8325.000000,8400.000000,8400.000000,165200
2019-07-01,8425.000000,8425.000000,7900.000000,8200.000000,8200.000000,88500
2019-07-02,8250.000000,8250.000000,8000.000000,8125.000000,8125.000000,54800
2019-07-03,8125.000000,8125.000000,7900.000000,8025.000000,8025.000000,69700
2019-07-04,8050.000000,8050.000000,7950.000000,7975.000000,7975.000000,39200
2019-07-05,8050.000000,8050.000000,7750.000000,8025.000000,8025.000000,66800
2019-07-08,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,19200
2019-07-09,8025.000000,8100.000000,7775.000000,8000.000000,8000.000000,43500
2019-07-10,8025.000000,8100.000000,7825.000000,8100.000000,8100.000000,23500
2019-07-11,8100.000000,8150.000000,8050.000000,8100.000000,8100.000000,12500
2019-07-12,8150.000000,8150.000000,8125.000000,8125.000000,8125.000000,13900
2019-07-15,8150.000000,8325.000000,8150.000000,8300.000000,8300.000000,24200
2019-07-16,8200.000000,8250.000000,8200.000000,8200.000000,8200.000000,37500
2019-07-17,8200.000000,8250.000000,8025.000000,8100.000000,8100.000000,50100
2019-07-18,8150.000000,8175.000000,7900.000000,8100.000000,8100.000000,44100
2019-07-19,8100.000000,8100.000000,7900.000000,8100.000000,8100.000000,30700
2019-07-22,8100.000000,8100.000000,7950.000000,8100.000000,8100.000000,37700
2019-07-23,8100.000000,8100.000000,7850.000000,8050.000000,8050.000000,58300
2019-07-24,8300.000000,8300.000000,7950.000000,8075.000000,8075.000000,53500
2019-07-25,8100.000000,8150.000000,7950.000000,7950.000000,7950.000000,38600
2019-07-26,8100.000000,8100.000000,8075.000000,8075.000000,8075.000000,28200
2019-07-29,8250.000000,8250.000000,8150.000000,8150.000000,8150.000000,30800
2019-07-30,8150.000000,8150.000000,7875.000000,7900.000000,7900.000000,157900
2019-07-31,8100.000000,8125.000000,7800.000000,8000.000000,8000.000000,53200
2019-08-01,8200.000000,8200.000000,8025.000000,8075.000000,8075.000000,57900
2019-08-02,8200.000000,8200.000000,8100.000000,8125.000000,8125.000000,75400
2019-08-05,8200.000000,8250.000000,8100.000000,8150.000000,8150.000000,324500
2019-08-06,8150.000000,8150.000000,8100.000000,8125.000000,8125.000000,206300
2019-08-07,8150.000000,8175.000000,8150.000000,8150.000000,8150.000000,289100
2019-08-08,8175.000000,8175.000000,8150.000000,8175.000000,8175.000000,5500
2019-08-09,8150.000000,8175.000000,8150.000000,8175.000000,8175.000000,1300
2019-08-12,8175.000000,8175.000000,8150.000000,8150.000000,8150.000000,28100
2019-08-13,8150.000000,8150.000000,8150.000000,8150.000000,8150.000000,100
2019-08-14,8150.000000,8150.000000,8150.000000,8150.000000,8150.000000,7500
2019-08-15,8150.000000,8175.000000,8150.000000,8150.000000,8150.000000,15000
2019-08-16,8150.000000,8175.000000,8150.000000,8175.000000,8175.000000,181400
2019-08-19,8175.000000,8175.000000,8175.000000,8175.000000,8175.000000,7300
2019-08-20,8175.000000,8175.000000,8175.000000,8175.000000,8175.000000,0
2019-08-21,8175.000000,8175.000000,8175.000000,8175.000000,8175.000000,47100
2019-08-22,8175.000000,8175.000000,8175.000000,8175.000000,8175.000000,1400
2019-08-23,8175.000000,8175.000000,8175.000000,8175.000000,8175.000000,1800
2019-08-26,8175.000000,8175.000000,8175.000000,8175.000000,8175.000000,100
2019-08-27,8275.000000,8275.000000,8275.000000,8275.000000,8275.000000,100
2019-08-28,8275.000000,8275.000000,8275.000000,8275.000000,8275.000000,200
2019-08-29,8275.000000,8275.000000,8275.000000,8275.000000,8275.000000,0
2019-08-30,8300.000000,8350.000000,8300.000000,8350.000000,8350.000000,27500
2019-09-02,8200.000000,8200.000000,8100.000000,8200.000000,8200.000000,13200
2019-09-03,8200.000000,8200.000000,8000.000000,8000.000000,8000.000000,19100
2019-09-04,8000.000000,8050.000000,7850.000000,7850.000000,7850.000000,19900
2019-09-05,7850.000000,7850.000000,7800.000000,7800.000000,7800.000000,21400
2019-09-06,7800.000000,7850.000000,7800.000000,7800.000000,7800.000000,20100
2019-09-09,7900.000000,7900.000000,7800.000000,7800.000000,7800.000000,3500
2019-09-10,7800.000000,7800.000000,7800.000000,7800.000000,7800.000000,22300
2019-09-11,7900.000000,7900.000000,7800.000000,7800.000000,7800.000000,10700
2019-09-12,7800.000000,7800.000000,7800.000000,7800.000000,7800.000000,13500
